date,competition,home_team,away_team,home_goals,away_goals,home_before,away_before,penalty_home,penalty_away,exp_home,exp_away,delta_home,delta_away,home_after,away_after
1997-08-15,ligue-2,SC Toulon,FC Gueugnon,1,3,1371.29,1400.0,0,0,0.4588,0.5412,-13.76,13.76,1357.53,1413.76
1997-08-15,ligue-1,LB Châteauroux,FC Metz,1,2,1585.0,1630.0,0,0,0.4356,0.5644,-13.07,13.07,1571.93,1643.07
1997-08-15,ligue-1,RC Lens,Havre AC,0,0,1599.35,1600.65,0,0,0.4981,0.5019,0.06,-0.06,1599.41,1600.59
1997-08-15,national,Gazélec FC Ajaccio,AC Ajaccio,1,1,1185.0,1215.0,0,0,0.4569,0.5431,1.29,-1.29,1186.29,1213.71
1997-08-16,ligue-2,FC Martigues,Nîmes Olympique,0,0,1370.65,1400.65,0,0,0.4569,0.5431,1.29,-1.29,1371.94,1399.36
1997-08-16,ligue-2,OGC Nice,ASOA Valence,0,0,1400.65,1385.65,0,0,0.5216,0.4784,-0.65,0.65,1400.0,1386.29
1997-08-16,ligue-2,Chamois Niortais,Amiens SC,0,0,1400.0,1429.35,0,0,0.4579,0.5421,1.26,-1.26,1401.26,1428.09
1997-08-16,ligue-2,AS Saint-Étienne,Le Mans FC,1,2,1384.35,1386.29,0,0,0.4972,0.5028,-14.92,14.92,1369.44,1401.21
1997-08-16,ligue-2,FC Sochaux,Lille OSC,0,0,1429.35,1414.35,0,0,0.5216,0.4784,-0.65,0.65,1428.71,1415.0
1997-08-16,ligue-2,ES Wasquehal,ESTAC Troyes,0,4,1398.71,1428.71,0,0,0.4569,0.5431,-13.71,13.71,1385.0,1442.42
1997-08-16,ligue-2,AS Beauvais,Red Star FC,2,1,1413.71,1415.65,0,0,0.4972,0.5028,15.08,-15.08,1428.79,1400.56
1997-08-16,ligue-2,SM Caen,AS Nancy Lorraine,2,2,1370.0,1401.29,0,0,0.4551,0.5449,1.35,-1.35,1371.35,1399.94
1997-08-16,ligue-1,Toulouse FC,SC Bastia,1,1,1628.71,1630.0,0,0,0.4981,0.5019,0.06,-0.06,1628.76,1629.94
