date,competition,journee,equipe_dom,equipe_ext,buts_dom,buts_ext
1997-09-03,ligue-2,7,FC Martigues,ASOA Valence,2,0
1997-09-03,ligue-2,7,OGC Nice,AS Nancy Lorraine,1,1
1997-09-03,ligue-2,7,Nîmes Olympique,Red Star FC,2,2
1997-09-04,ligue-1,6,Havre AC,Toulouse FC,1,1
1997-09-04,ligue-1,6,Olympique Marseille,Olympique Lyonnais,1,0
1997-09-05,ligue-1,6,SC Bastia,Girondins Bordeaux,4,1
1997-09-05,national,7,Saint-Denis Saint-Leu FC,RC France 92,1,1
1997-09-05,national,7,US Raon l'Etape,Stade Poitevin,1,1
1997-09-05,national,7,CS Sedan,Paris FC,3,1
1997-09-05,national,7,Gazélec FC Ajaccio,Thouars Foot 79,1,0
1997-09-05,national,7,Tours FC,SAS Épinal,1,2
1997-09-05,national,7,FC Istres,Étoile FC,2,2
1997-09-05,national,7,US Lusitanos de Saint-Maur,AC Ajaccio,1,1
1997-09-05,ligue-1,6,Stade Rennais,FC Metz,2,2
1997-09-05,ligue-1,6,RC Strasbourg,Paris Saint-Germain,0,3
1997-09-05,ligue-1,6,Montpellier HSC,EA Guingamp,2,3
1997-09-05,ligue-1,6,AJ Auxerre,LB Châteauroux,5,0
1997-09-05,ligue-1,6,RC Lens,FC Nantes,0,0
1997-09-05,ligue-1,6,AS Cannes,AS Monaco,1,2
1997-09-05,national,7,Angers SCO,AS Angoulême Charente,0,0
1997-09-06,ligue-2,8,Red Star FC,Le Mans FC,2,1
1997-09-06,ligue-2,8,ESTAC Troyes,OGC Nice,1,1
1997-09-06,ligue-2,8,ASOA Valence,AS Saint-Étienne,1,1
1997-09-06,ligue-2,8,Amiens SC,Nîmes Olympique,2,0
1997-09-06,ligue-2,8,ES Wasquehal,SC Toulon,1,1
1997-09-06,ligue-2,8,FC Gueugnon,FC Martigues,3,0
1997-09-06,ligue-2,8,SM Caen,Chamois Niortais,0,0
1997-09-06,ligue-2,8,Stade Lavallois,FC Sochaux,0,1
1997-09-06,ligue-2,8,FC Lorient,Lille OSC,2,0
1997-09-06,ligue-2,8,AS Nancy Lorraine,Louhans-Cuiseaux,3,1
1997-09-06,ligue-2,8,FC Mulhouse,AS Beauvais,0,0
1997-09-11,ligue-1,7,EA Guingamp,RC Lens,2,1
1997-09-11,ligue-1,7,LB Châteauroux,Stade Rennais,1,0
1997-09-12,ligue-1,7,FC Nantes,Montpellier HSC,1,1
1997-09-12,national,8,Étoile FC,Olympique Noisy-le-Sec Banlieue 93,1,2
1997-09-12,national,8,Thouars Foot 79,FC Istres,1,1
1997-09-12,national,8,US Créteil-Lusitanos,Gazélec FC Ajaccio,1,0
1997-09-12,national,8,AS Angoulême Charente,Tours FC,1,0
1997-09-12,national,8,Paris FC,Saint-Denis Saint-Leu FC,4,1
1997-09-12,national,8,RC France 92,SAS Épinal,1,0
1997-09-12,national,8,US Raon l'Etape,CS Sedan,0,1
1997-09-12,ligue-1,7,Toulouse FC,AJ Auxerre,2,1
1997-09-12,ligue-1,7,Paris Saint-Germain,SC Bastia,2,0
1997-09-12,ligue-1,7,FC Metz,AS Cannes,2,0
1997-09-12,ligue-1,7,Olympique Lyonnais,RC Strasbourg,3,1
1997-09-12,ligue-1,7,AS Monaco,Olympique Marseille,2,0
1997-09-12,ligue-1,7,Girondins Bordeaux,Havre AC,2,1
1997-09-12,national,8,AC Ajaccio,Angers SCO,2,1
1997-09-13,ligue-2,9,AS Saint-Étienne,FC Gueugnon,0,1
1997-09-13,ligue-2,9,FC Sochaux,Red Star FC,1,1
1997-09-13,ligue-2,9,AS Beauvais,AS Nancy Lorraine,0,0
1997-09-13,ligue-2,9,SC Toulon,SM Caen,2,1
1997-09-13,ligue-2,9,Louhans-Cuiseaux,ESTAC Troyes,1,1
1997-09-13,ligue-2,9,Le Mans FC,FC Lorient,2,2
1997-09-13,ligue-2,9,Lille OSC,FC Mulhouse,1,0
1997-09-13,ligue-2,9,FC Martigues,Amiens SC,3,2
1997-09-13,ligue-2,9,Chamois Niortais,Stade Lavallois,1,2
1997-09-13,ligue-2,9,OGC Nice,ES Wasquehal,1,0
1997-09-13,ligue-2,9,Nîmes Olympique,ASOA Valence,1,2
1997-09-19,national,9,US Lusitanos de Saint-Maur,US Créteil-Lusitanos,0,1
1997-09-19,national,9,Saint-Denis Saint-Leu FC,Thouars Foot 79,1,0
1997-09-19,national,9,SAS Épinal,Étoile FC,4,0
1997-09-19,national,9,Olympique Noisy-le-Sec Banlieue 93,Paris FC,1,4
1997-09-19,national,9,Tours FC,AC Ajaccio,0,1
1997-09-19,national,9,FC Istres,AS Angoulême Charente,5,2
1997-09-19,national,9,Gazélec FC Ajaccio,Stade Poitevin,3,0
1997-09-19,national,9,Angers SCO,RC France 92,3,2
1997-09-20,ligue-2,10,ESTAC Troyes,AS Beauvais,0,0
1997-09-20,ligue-2,10,ES Wasquehal,Louhans-Cuiseaux,2,1
1997-09-20,ligue-2,10,Amiens SC,Lille OSC,0,0
1997-09-20,ligue-2,10,FC Gueugnon,Nîmes Olympique,1,0
1997-09-20,ligue-2,10,ASOA Valence,Le Mans FC,1,0
1997-09-20,ligue-2,10,FC Lorient,Red Star FC,5,2
1997-09-20,ligue-2,10,Stade Lavallois,SC Toulon,1,1
1997-09-20,ligue-2,10,FC Mulhouse,FC Martigues,4,1
1997-09-20,ligue-2,10,Chamois Niortais,FC Sochaux,0,0
1997-09-20,ligue-1,8,RC Strasbourg,Girondins Bordeaux,0,0
1997-09-20,ligue-1,8,Havre AC,Paris Saint-Germain,1,1
1997-09-20,ligue-1,8,Olympique Marseille,LB Châteauroux,2,0
1997-09-20,ligue-1,8,AJ Auxerre,Olympique Lyonnais,1,2
1997-09-20,ligue-1,8,RC Lens,Toulouse FC,2,0
1997-09-20,ligue-1,8,AS Cannes,Stade Rennais,1,1
